WKT,id_techo,tipo_edifi,tipo_techo,edificio,direccion,tipo_siste,capacidad,caracteris,proveedor,fecha_inst,link,foto,calle,altura,calle2,direccion_,barrio,comuna,energia_an_kwh,mitig_an_tCO2eq,energia_acum_kwh,mitig_acum_tCO2eq
POINT (-58.4162942269447 -34.6563775025643),46,Público,Solar Térmico,Comedor comunitario Trabajo Social,Av Saenz 1340,,300 lts,1 Colector Solar térmico tipo compacto de 30 tubos de vacío. ,APrA,2015,,,Av. Saenz,1340,,SAENZ AV. 1340,Nueva Pompeya,Comuna 4,2736,1.23,16416,7.39
POINT (-58.4714287440446 -34.5600943551249),52,Privado,Solar Térmico,Particular,-,,6 colectores de 30 tubos,Almacenamiento: 6000lts,Sustentator,2017,,,Avenida Congreso,,Avenida Doctor Ricardo Balbin,"CONGRESO AV. y BALBIN, RICARDO, DR. AV., CABA",COGHLAN,Comuna 12,16416,7.39,65664,29.55
POINT (-58.4558732673623 -34.5629893927905),53,Privado,Solar Térmico,Particular,-,,13m2,Colector para pileta 62 m2,Sustentator,2016,,,Avenida Cabildo,,Echeverría,"CABILDO AV. y ECHEVERRIA, CABA",BELGRANO,Comuna 13,1610,0.74,8050,3.70
POINT (-58.4249896099443 -34.5745562405458),54,Privado,Solar Térmico,Particular,-,,,1 colector de 20 tubos.,Sustentator,2017,,,Avenida Intendente Bullrich,,Avenida Cerviño,"BULLRICH, INT. AV. y CERVIÑO AV., CABA",PALERMO,Comuna 14,0,0.00,0,0.00
POINT (-58.4232469975086 -34.5711682896887),55,Privado,Solar Fotovoltaico,Particular,-,Off-Grid,1060 Wp,Almacenamiento con 4 baterías.,Sustentator,2017,,,Avenida Intendente Bullrich,,Avenida del libertador,"BULLRICH, INT. AV. y DEL LIBERTADOR AV., CABA",PALERMO,Comuna 14,1643,0.74,6572,2.96
POINT (-58.399732453456 -34.5698416503169),56,Privado,Solar Térmico,Particular,-,,30 tubos,Almacenamiento: 300 litros,Sustentator,2017,,,Jeronimo Salguero 3800,,,"SALGUERO, JERONIMO 3800, CABA",RECOLETA,Comuna 2,1732,0.97,6928,3.88
POINT (-58.3877970707588 -34.5801184370736),57,Público,Solar Fotovoltaico,Residencial - Containera (Emplaque),Bricons - Villa 31,On-Grid,46110 Wp,40 familias - 174 paneles Jinko 265 Wp + 5 Inversores Goodwe 8 kW (Potencia Acople : 40 kW),Sustentator,2017,,repok/static/techosinteligentes/techos_amarillos_57.jpg,,,,,,,71357,32.11,285428,128.44
POINT (-58.4050453905999 -34.6401132233714),58,Privado,Solar Térmico,Particular,-,,60 tubos,Almacenamiento 300 lts,Sustentator,2017,,,Uspallata,,Monteagudo,"USPALLATA y MONTEAGUDO, CABA",PARQUE PATRICIOS,Comuna 4,4805,2.16,19220,8.65
POINT (-58.405608796759 -34.6371220558107),59,Privado,Solar Fotovoltaico,Particular,-,Off-Grid,3100 Wp,Almacenamiento: 5 baterias,Sustentator,2017,,,Avenida Caseros,,Monteagudo,"CASEROS AV. y MONTEAGUDO, CABA",PARQUE PATRICIOS,Comuna 4,4810,2.33,19240,9.32
POINT (-58.4526620342269 -34.6714342626061),60,Público,Solar Térmico,Guardería Villa Olímpica,Villa Soldati,,Heatpipe 200 litros,,Sustentator,2016,,repok/static/techosinteligentes/techos_amarillos_60.jpg,,,,,,,1825,0.82,9125,4.11
POINT (-58.3815169501937 -34.6211480022151),61,Privado,Solar Fotovoltaico,APrA,Lima 1111,On-Grid,10800 Wp,"INVERSOR: SMA. Potencia unitaria: 12 kW. PANELES: SolarWorld - SW 270 Mono Solar Panel - Silicio Monocristalino. Potencia unitaria: 270 Wp. Cantidad: 40 - Potencia total: 10,8 kVA - Superficie ocupada: 102,6 m2 - Superficie activa: 63 m2 - Inclinación: 30°",Solartec,2015,http://solartec.com.ar/documentos/SFV-EdificioLima-1111-Memoria%20Descriptiva.pdf,repok/static/techosinteligentes/techos_amarillos_61.jpg,Lima,1111,,"LIMA 1111, CABA",CONSTITUCION,Comuna 1,16740,7.53,100440,45.20
POINT (-58.4183519163734 -34.5758640023424),62,Privado,Solar Fotovoltaico,Embajada de Estados Unidos,Colombia 4300,Off-Grid,10800  Wp,"72 módulos de 150 watts; Inversor 3000 W @ 48V;"" Banco de baterías: 1.700 Ah@ 48V",Solartec,2015,http://solartec.com.ar/documentos/SFV-EmbajadaEEUU-Buenos-Aires-Memoria-Descriptiva.pdf,,Avenida Colombia,,Avenida Cerviño,COLOMBIA AV. y CERVIÑO AV.,PALERMO,Comuna 14,17063,7.68,102378,46.07
POINT (-58.4162942269447 -34.6563775025643),64,Público,Solar Térmico,La casa de Juanita,AV. SAENZ 1340,,300 lts,Un equipo de tubos de vacio,Soleventus,2016,,,av saenz,1340,,SAENZ AV. 1340,Nueva Pompeya,Comuna 4,2736,1.23,13680,6.16
POINT (-58.4652444206878 -34.6481452399205),65,Público,Solar Fotovoltaico,Autopistas Urbanas S.A.,Echeandia 3434,On-Grid,14580 Wp,54 paneles  de 270Wp c/u marca LV- energy ,LV-Energy S.A.,2017,,,Echeandia ,3434,,ECHEANDIA 3434,Parque Avellaneda,Comuna 9,22599,10.17,90396,40.68
